,speed,acceleration,stp,BinNo
653,51.0,0.0,6.108222478189986,35
654,51.0,0.0,6.108222478189986,35
655,51.0,0.0,6.108222478189986,35
656,51.42,0.42,10.3785815572327,35
657,52.0,0.58,12.163906658884432,37
658,52.0,0.0,6.328363914597407,35
659,52.0,0.0,6.328363914597407,35
660,52.0,0.0,6.328363914597407,35
661,52.2,0.2,8.393085801184125,35
662,53.0,0.8,14.758165692162962,37
663,53.0,0.0,6.554352285075173,35
664,53.0,0.0,6.554352285075173,35
665,53.0,0.0,6.554352285075173,35
666,53.0,0.0,6.554352285075173,35
667,53.0,0.0,6.554352285075173,35
668,53.0,0.0,6.554352285075173,35
669,53.0,0.0,6.554352285075173,35
670,52.38,-0.62,0.1299653250239432,33
671,52.0,-0.38,2.5050772890300665,33
672,52.93,0.93,16.062677563247135,37
673,52.91,-0.02,6.329023908195712,35
674,52.25,-0.66,0.0,33
675,53.0,0.75,14.245427354219963,37
676,53.0,0.0,6.554352285075173,35
677,53.0,0.0,6.554352285075173,35
678,53.0,0.0,6.554352285075173,35
679,53.0,0.0,6.554352285075173,35
680,53.0,0.0,6.554352285075173,35
681,53.0,0.0,6.554352285075173,35
682,53.0,0.0,6.554352285075173,35
683,53.0,0.0,6.554352285075173,35
684,53.0,0.0,6.554352285075173,35
685,53.98,0.98,17.017097483406275,37
686,55.0,1.02,17.87889346357143,37
687,55.0,0.0,7.024319592401003,35
688,55.0,0.0,7.024319592401003,35
689,55.0,0.0,7.024319592401003,35
690,55.0,0.0,7.024319592401003,35
691,55.0,0.0,7.024319592401003,35
692,55.0,0.0,7.024319592401003,35
693,55.0,0.0,7.024319592401003,35
694,55.0,0.0,7.024319592401003,35
695,55.0,0.0,7.024319592401003,35
696,55.0,0.0,7.843495546178364,35
697,55.0,0.0,7.024319592401003,35
698,55.0,0.0,7.024319592401003,35
699,55.0,0.0,7.024319592401003,35
700,55.0,0.0,7.843326736883649,35
701,54.5,-0.5,1.632045803572297,33
702,54.66,0.16,8.634857309759568,35
703,55.0,0.34,10.642510882791175,35
704,54.03,-0.97,-2.5282443389764206,33
705,54.0,-0.03,6.47285244293944,35
706,54.0,0.0,6.786300030663099,35
707,54.0,0.0,6.786300030663099,35
708,54.0,0.0,6.786300030663099,35
709,54.0,0.0,7.606628458781686,35
710,54.0,0.0,6.786300030663099,35
711,54.0,0.0,6.786300030663099,35
712,54.0,0.0,6.786300030663099,35
713,54.77,0.77,15.949054327851123,37
714,56.0,1.23,20.595850474541145,38
715,56.0,0.0,7.268523411328696,35
716,56.0,0.0,7.268523411328696,35
717,56.02,0.02,8.310226427571235,35
718,57.0,0.98,18.327161119993598,38
719,56.67,-0.33,3.817251613097596,33
720,56.0,-0.67,0.008922490717005793,33
721,56.0,0.0,8.088321184794628,35
722,56.0,0.0,7.268523411328696,35
723,56.0,0.0,7.268523411328696,35
724,56.0,0.0,7.268523411328696,35
725,56.0,0.0,8.088147223111395,35
726,56.0,0.0,7.268523411328696,35
727,56.0,0.0,7.268523411328696,35
728,56.0,0.0,7.268523411328696,35
729,56.91,0.91,18.33595026736539,38
730,57.0,0.09,8.511607956277492,35
731,57.0,0.0,7.519023928485991,35
732,57.0,0.0,7.519023928485991,35
733,57.0,0.0,8.338304129290057,35
734,57.0,0.0,7.519023928485991,35
735,57.85,0.85,17.251182594803232,37
736,58.0,0.15,9.459263222687827,35
737,58.0,0.0,8.595044112632774,35
738,58.0,0.0,7.775933584912706,35
739,58.0,0.0,7.775933584912706,35
740,58.0,0.0,7.775933584912706,35
741,58.0,0.0,8.594875845457377,35
742,58.0,0.0,7.775933584912706,35
743,58.0,0.0,7.775933584912706,35
744,58.0,0.0,7.775933584912706,35
745,57.15,-0.85,-1.0231497588185399,33
746,56.0,-1.15,0.0,33
747,56.0,0.0,7.268523411328696,35
748,56.0,0.0,7.268523411328696,35
749,56.0,0.0,7.268523411328696,35
750,56.0,0.0,8.088788026309196,35
751,55.63,-0.37,3.1948950145708634,33
752,55.0,-0.63,0.3200239660898072,33
753,55.0,0.0,7.024319592401003,35
754,55.0,0.0,7.844406377456553,35
755,55.0,0.0,7.024319592401003,35
756,55.0,0.0,7.024319592401003,35
